Northeast Ridge (Knife-Edge),alpine,,,,,http://www.mountainproject.com/v/northeast-ridge-knife-edge/105759126
Northwest Buttress,alpine,5.9,9,2000,13 pitches,http://www.mountainproject.com/v/northwest-buttress/105760500
Donkey Ear,alpine,5.7,7,50,1 pitch,http://www.mountainproject.com/v/donkey-ear/106898691
Roger's Route,alpine,5.8+,8,250,2 pitches,http://www.mountainproject.com/v/rogers-route/106897117
"East Ridge - The Citadel (Clear Creek, CO)",alpine,4th,0.5,3000,2 pitches,http://www.mountainproject.com/v/east-ridge---the-citadel-clear-creek-co/107952010
Crestone Peak / North Pillar,alpine,5.8,8,,,http://www.mountainproject.com/v/crestone-peak--north-pillar/105750595
Crestone Peak North Buttress,alpine,Easy 5th,0.5,1100,,http://www.mountainproject.com/v/crestone-peak-north-buttress/105827902
Crestone Traverse,alpine,4th,0.5,,,http://www.mountainproject.com/v/crestone-traverse/106508774
Ellingwood Ledges,alpine,5.7,7,,,http://www.mountainproject.com/v/ellingwood-ledges/105748714
India,alpine,5.8,8,700,6 pitches,http://www.mountainproject.com/v/india/109498483
Kit Carson / The Prow,alpine,5.8,8,,,http://www.mountainproject.com/v/kit-carson--the-prow/105750589
Northwest Couloir,alpine,,,,,http://www.mountainproject.com/v/northwest-couloir/105761577
Wrong Peak,alpine,5.9,9,1200,6 pitches,http://www.mountainproject.com/v/wrong-peak/109449517
The Skin Flute Couloir,alpine,5.5,5,1400,,http://www.mountainproject.com/v/the-skin-flute-couloir/107618567
Worthy Endeavor,alpine,5.11a/b,11,100,1 pitch,http://www.mountainproject.com/v/worthy-endeavor/108625823
Grizzly Couloir,alpine,Steep,0.5,1200,,http://www.mountainproject.com/v/grizzly-couloir/105762594
Ellingwood Ridge,alpine,,,,,http://www.mountainproject.com/v/ellingwood-ridge/105757222
Northwest Ridge with North Face Ski Descent,mixed,Mod.,0,,,http://www.mountainproject.com/v/northwest-ridge-with-north-face-ski-descent/108917350
Unknown couloir on north face,alpine,,,,,http://www.mountainproject.com/v/unknown-couloir-on-north-face/105759420
Northwest Face,alpine,Easy 5th,0.5,2000,2 pitches,http://www.mountainproject.com/v/northwest-face/106251157
West Ridge and Hourglass Couloir,alpine,4th,0.5,5000,,http://www.mountainproject.com/v/west-ridge-and-hourglass-couloir/106016603
West Ridge Direct,alpine,5.4,4,2000,,http://www.mountainproject.com/v/west-ridge-direct/108376829
Bell Cord Couloir,alpine,,,,,http://www.mountainproject.com/v/bell-cord-couloir/105758709
Maroon Ridge,alpine,5.4,4,,,http://www.mountainproject.com/v/maroon-ridge/105758712
Northeast Ridge,alpine,,,,,http://www.mountainproject.com/v/northeast-ridge/105761562
Holy Cross Couloir,alpine,,,,,http://www.mountainproject.com/v/holy-cross-couloir/105761580
North Face Couloirs,trad,,,,,http://www.mountainproject.com/v/north-face-couloirs/105756508
Megamidal Traverse,alpine,5.4,4,7300,,http://www.mountainproject.com/v/megamidal-traverse/109375627
Northeast Ridge,alpine,4th,0.5,4400,,http://www.mountainproject.com/v/northeast-ridge/106507497
Northwest Ridge,alpine,,,,,http://www.mountainproject.com/v/northwest-ridge/105761286
Beardsley Route,alpine,5.10,10,150,1 pitch,http://www.mountainproject.com/v/beardsley-route/107320477
Cristo Couloir,alpine,Easy,0,2500,,http://www.mountainproject.com/v/cristo-couloir/106906869
The Golden Goat Buttress,alpine,5.6,6,300,2 pitches,http://www.mountainproject.com/v/the-golden-goat-buttress/107320431
Inwood Arete,alpine,5.4,4,,,http://www.mountainproject.com/v/inwood-arete/105751939
King's Crown,alpine,5.7,7,120,1 pitch,http://www.mountainproject.com/v/kings-crown/107694076
Second Reincarnation of the Golden Goat,alpine,5.6,6,300,2 pitches,http://www.mountainproject.com/v/second-reincarnation-of-the-golden-goat/107320405
Choss Bubbles (summer var. to an existing winter route),alpine,5.9-,9,1600,4 pitches,http://www.mountainproject.com/v/choss-bubbles-summer-var-to-an-existing-winter-route/106861349
Mayflower Cirque Traverse,alpine,5.7,7,,,http://www.mountainproject.com/v/mayflower-cirque-traverse/108348459
Tenmile Traverse,alpine,4th,0.5,,,http://www.mountainproject.com/v/tenmile-traverse/108333104
Astromarmot,alpine,5.7,7,800,7 pitches,http://www.mountainproject.com/v/astromarmot/106111032
Black and White Movies,alpine,5.9,9,550,5 pitches,http://www.mountainproject.com/v/black-and-white-movies/106112116
El Camino de Cabra,alpine,3rd,0.5,1500,1 pitch,http://www.mountainproject.com/v/el-camino-de-cabra/106111689
Ichiban,alpine,5.8,8,800,10 pitches,http://www.mountainproject.com/v/ichiban/106108988
Kiss of the Lion,alpine,5.7,7,300,2 pitches,http://www.mountainproject.com/v/kiss-of-the-lion/106112206
"Wild, Immaculate",alpine,5.11a,11,230,2 pitches,http://www.mountainproject.com/v/wild-immaculate/106112155
Dead Dog Couloir,alpine,,,1500,,http://www.mountainproject.com/v/dead-dog-couloir/105756727
Kelso Ridge,alpine,,,2000,,http://www.mountainproject.com/v/kelso-ridge/105756724
North Face Ski Descent,alpine,Mod.,0,3000,,http://www.mountainproject.com/v/north-face-ski-descent/105759849
The Beaver,alpine,5.5,5,3000,,http://www.mountainproject.com/v/the-beaver/106487344
Kiener's Route,alpine,5.3,3,,,http://www.mountainproject.com/v/kieners-route/105756793
Zumie's Thumb,alpine,5.9,9,800,5 pitches,http://www.mountainproject.com/v/zumies-thumb/106593741
The Notch Couloir,alpine,Mod.,0,,,http://www.mountainproject.com/v/the-notch-couloir/105748837
Center Shift on Wham Ridge ,alpine,5.7,7,1000,6 pitches,http://www.mountainproject.com/v/center-shift-on-wham-ridge-/106444710
East Face,alpine,5.8,8,,7 pitches,http://www.mountainproject.com/v/east-face/107557136
Wham Ridge,alpine,5.4,4,2000,10 pitches,http://www.mountainproject.com/v/wham-ridge/105757885
Age Axe,alpine,5.10b,10,600,6 pitches,http://www.mountainproject.com/v/age-axe/105762837
All Two Obvious,alpine,5.11d,11,800,8 pitches,http://www.mountainproject.com/v/all-two-obvious/105764076
The Barb,alpine,5.10-,10,,9 pitches,http://www.mountainproject.com/v/the-barb/105750154
East Prow,alpine,5.9,9,,6 pitches,http://www.mountainproject.com/v/east-prow/105754771
Obviously Four Believers,alpine,5.11a,11,,,http://www.mountainproject.com/v/obviously-four-believers/105751555
Spear Me the Details,alpine,5.11d,11,700,8 pitches,http://www.mountainproject.com/v/spear-me-the-details/105757174
"Spearhead, Chiefshead, Pagoda, Long's Traverse",alpine,5.7,7,,,http://www.mountainproject.com/v/spearhead-chiefshead-pagoda-longs-traverse/108233277
